method,qbin,cov
AD-Mondrian,0,0.9620485250733096
AD-Mondrian,1,0.9381948228409617
AD-Mondrian,2,0.9189240436554278
AD-Mondrian,3,0.8972900162935609
AD-Mondrian,4,0.8662484689821789
rough-Mondrian,0,0.9204623416866141
rough-Mondrian,1,0.9143667199437775
rough-Mondrian,2,0.9160059087108707
rough-Mondrian,3,0.9188845572585903
rough-Mondrian,4,0.9173449782333214
standard,0,0.9489857842055135
standard,1,0.9198230681586094
standard,2,0.9038420480278361
standard,3,0.8841870940515779
standard,4,0.8664124898218963
